,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
99,2023-07-07 10:54:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,212.65,213.45,211.1,212.9,27500,2079400,99
100,2023-07-07 10:55:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,213.05,213.05,206.65,210.95,39400,2079400,100
101,2023-07-07 10:56:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,211.55,213.85,209.25,209.25,31800,2056600,101
102,2023-07-07 10:57:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,208.95,209.75,204.95,207.55,20750,2056600,102
103,2023-07-07 10:58:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,207.7,209.9,206,206,24250,2056600,103
104,2023-07-07 10:59:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,206,206.35,203.6,204.6,17000,2048200,104
105,2023-07-07 11:00:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,205.5,210,203.8,208.55,22600,2048200,105
106,2023-07-07 11:01:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,208.3,209.8,206.45,208.55,15650,2048200,106
107,2023-07-07 11:02:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,209,209.65,207.5,208.1,5200,2038750,107
108,2023-07-07 11:03:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,209,209,207,208.55,3800,2038750,108
109,2023-07-07 11:04:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,208.1,210.8,208.1,209.4,17750,2038750,109
110,2023-07-07 11:05:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,210.3,210.3,206.75,208.5,8850,2034000,110
111,2023-07-07 11:06:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,208.05,208.05,203.35,204,8300,2034000,111
112,2023-07-07 11:07:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,203.65,203.65,198,199.25,28000,2034000,112
113,2023-07-07 11:08:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,199.35,201.75,199,199.9,8900,2034450,113
114,2023-07-07 11:09:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,199,201,198.4,201,59850,2034450,114
115,2023-07-07 11:10:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,200.8,201.5,199.4,200.9,10350,2034450,115
116,2023-07-07 11:11:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,201.5,201.5,199,199.8,8750,2070350,116
117,2023-07-07 11:12:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,201,204.15,201,203.85,11850,2070350,117
118,2023-07-07 11:13:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,203.55,203.65,200,202,6650,2070350,118
119,2023-07-07 11:14:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,201.1,201.1,199,200.5,4650,2068500,119
120,2023-07-07 11:15:00,NIFTY,NFO,Options,27-JUL-23,Put,19500,200,200,195.9,197.55,11950,2068500,120
