"Token", "ShortName", "Series", "CompanyName", "ticksize", "Lotsize", "DateOfListing", "DateOfDeListing", "IssuePrice", "FaceValue", "ISINCode", "52WeeksHigh", "52WeeksLow", "LifeTimeHigh", "LifeTimeLow", "HighDate", "LowDate", "Symbol", "InstrumentType", "PermittedToTrade", "IssueCapital", "WarningPercent", "FreezePercent", "CreditRating", "IssueRate", "IssueStartDate", "InterestPaymentDate", "IssueMaturityDate", "BoardLotQty", "Name", "ListingDate", "ExpulsionDate", "ReAdmissionDate", "RecordDate", "ExpiryDate", "NoDeliveryStartDate", "NoDeliveryEndDate", "MFill", "AON", "ParticipantInMarketIndex", "BookClsStartDate", "BookClsEndDate", "EGM", "AGM", "Interest", "Bonus", "Rights", "Dividends", "LocalUpdateDateTime", "DeleteFlag", "Remarks", "NormalMarketStatus", "OddLotMarketStatus", "SpotMarketStatus", "AuctionMarketStatus", "NormalMarketEligibility", "OddLotlMarketEligibility", "SpotMarketEligibility", "AuctionlMarketEligibility", "MarginPercentage", "ExchangeCode"
"11568","DCINF","BE","DC INFOTECH AND COMMUNICATION",0.01,1,"","",0,10,"INE0A1101019",189.8,40.75,189.8,19.5,"","","",0,0,0,161.95,146.55,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","DCI"
"11571","PIRPHA","EQ","PIRAMAL PHARMA LIMITED",0.01,1,"","",0,10,"INE0DK501011",188.33,64.85,195.31,61.62,"","","",0,0,0,126.9,84.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","PPLPHARMA"
"11573","FORMOT","EQ","FORCE MOTORS LIMITED",0.01,1,"","",0,10,"INE451A01017",2849,1028,1740,110.25,"","","",0,0,0,2753.85,2253.15,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","FORCEMOT"
"11580","WESDEV","EQ","WESTLIFE FOODWORLD LIMITED",0.01,1,"","",0,2,"INE274F01020",966.9,591.25,966.9,261.45,"","","",0,0,0,1103.7,735.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","WESTLIFE"
"11581","GPPET","EQ","GP PETROLEUMS LIMITED",0.01,1,"","",0,5,"INE586G01017",67.2,31,103.9,3.62,"","","",0,0,0,48.9,32.6,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","GULFPETRO"
"11582","TRTEC","EQ","TRACXN TECHNOLOGIES LIMITED",0.01,1,"","",0,1,"INE0HMF01019",103.4,60.1,103.4,60.1,"","","",0,0,0,94.35,62.95,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","TRACXN"
"11591","HDFRGE","EQ","HDFC NIFTY 50 ETF",0.01,1,"","",0,761,"INF179KC1965",221.55,176.01,230,65.55,"","","",0,0,0,255.25,170.16,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HDFCNIFTY"
"11593","HDFSEN","EQ","HDFC S&P BSE SENSEX ETF",0.01,1,"","",0,2503,"INF179KC1973",784,610.11,784,207.5,"","","",0,0,0,865.69,577.12,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","HDFCSENSEX"
"11596","LINPH","EQ","LINCOLN PHARMACEUTICALS LTD",0.01,1,"","",0,10,"INE405C01035",456.3,275.05,456.3,85.05,"","","",0,0,0,537.95,358.65,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","LINCOLN"
"11605","INDSW","BE","IND-SWIFT LIMITED",0.01,1,"","",0,2,"INE788B01028",14.5,6.6,88,1.9,"","","",0,0,0,12.2,11.8,"",0,"","","",0,"","","","","","","","","","","","","","","","","","","","","","","0",0,0,0,"","","","","","INDSWFTLTD"
